Queue,offered
EN_2Rental_1Info_0CSR_Q,1
AR_1Emerg_Q,1
EN_1Emerg_Q,1
AR_2Rental_0CSR_Q,1
AR_2Rental_1Info_0CSR_Q,1
AR_2Rental_2Price_0CSR_Q,1
AR_2Rental_4Paper_Q,1
AR_3Owner_Q,1
,1
,1
